time_s,x_m,y_m,linear_speed_mps,angular_speed_radps
4.539064,-1.996512,-0.499999,0.068077,-0.000259
4.573183,-1.993044,-0.499999,0.102095,-0.000275
4.607470,-1.988420,-0.499998,0.136093,-0.000287
4.641572,-1.982640,-0.499997,0.170079,-0.000290
4.676013,-1.975810,-0.499998,0.200934,-0.021823
4.710057,-1.967824,-0.500005,0.234980,-0.022184
4.744059,-1.958980,-0.500024,0.260160,-0.052291
4.778084,-1.950136,-0.500059,0.260190,-0.052697
4.811971,-1.941758,-0.500106,0.246425,-0.052754
4.846051,-1.933381,-0.500169,0.246445,-0.052674
4.880017,-1.925004,-0.500247,0.246464,-0.052658
4.914020,-1.916167,-0.500337,0.260049,-0.001153
4.948097,-1.907322,-0.500434,0.260141,-0.051937
4.982043,-1.898950,-0.500535,0.246354,-0.001272
5.015983,-1.890573,-0.500642,0.246440,-0.051953
5.050023,-1.882196,-0.500765,0.246486,-0.052692
5.084018,-1.873360,-0.500902,0.260043,-0.001323
5.117939,-1.864516,-0.501047,0.260159,-0.051951
5.152032,-1.855674,-0.501208,0.260174,-0.052699
5.185999,-1.847304,-0.501368,0.246322,-0.001380
5.220022,-1.838927,-0.501535,0.246437,-0.051954
5.254069,-1.830551,-0.501718,0.246486,-0.052688
5.288079,-1.821718,-0.501918,0.260006,-0.001418
5.322056,-1.812876,-0.502126,0.260148,-0.051937
5.356011,-1.804035,-0.502350,0.260173,-0.052688
5.390013,-1.795668,-0.502570,0.246312,-0.001465
5.423993,-1.787292,-0.502797,0.246433,-0.051932
5.457992,-1.778918,-0.503039,0.246457,-0.052647
5.492089,-1.770087,-0.503303,0.259958,-0.001491
5.526262,-1.761246,-0.503574,0.260131,-0.051922
5.560307,-1.752407,-0.503861,0.260169,-0.052682
5.594558,-1.744043,-0.504141,0.246272,-0.001550
5.629080,-1.735669,-0.504428,0.246413,-0.051925
5.663050,-1.727296,-0.504730,0.246464,-0.052655
5.696944,-1.718469,-0.505056,0.259926,-0.001593
5.731087,-1.709630,-0.505391,0.260133,-0.051930
5.764960,-1.700797,-0.505734,0.260096,-0.001043
5.798985,-1.692434,-0.506058,0.246217,-0.000853
5.833058,-1.684066,-0.506383,0.246378,-0.000295
5.866932,-1.675697,-0.506708,0.246398,-0.000283
5.901018,-1.666870,-0.507050,0.259910,-0.000868
5.935107,-1.658036,-0.507393,0.260077,-0.000266
5.968991,-1.649203,-0.507736,0.260061,-0.000258
6.003052,-1.640840,-0.508061,0.246157,-0.000859
6.037008,-1.632472,-0.508386,0.246358,-0.000277
6.071006,-1.624104,-0.508711,0.246366,-0.000252
6.104988,-1.616207,-0.509018,0.232484,-0.000880
6.139028,-1.609454,-0.509281,0.198786,-0.002992
6.173032,-1.602942,-0.509540,0.191692,-0.052004
6.207081,-1.595521,-0.509842,0.218574,-0.004183
6.241082,-1.588083,-0.510146,0.219027,-0.000291
6.275131,-1.580644,-0.510450,0.219013,-0.000266
6.309084,-1.573686,-0.510734,0.204863,-0.003477
6.343099,-1.566713,-0.511020,0.205326,-0.000336
6.377122,-1.559741,-0.511305,0.205337,-0.000265
6.411145,-1.553244,-0.511577,0.191223,-0.055118
6.445078,-1.546737,-0.511856,0.191646,-0.001042
6.479199,-1.540230,-0.512134,0.191612,-0.000251
6.513213,-1.533722,-0.512413,0.191646,-0.000252
6.547250,-1.527687,-0.512682,0.177600,-0.106799
6.581514,-1.521648,-0.512963,0.177960,-0.001965
6.615828,-1.515607,-0.513244,0.177930,-0.000261
6.650042,-1.510027,-0.513508,0.164327,-0.052112
6.683974,-1.504451,-0.513778,0.164313,-0.001046
6.717929,-1.498874,-0.514047,0.164283,-0.000286
6.752109,-1.493756,-0.514303,0.150663,-0.103791
6.786318,-1.488642,-0.514572,0.150691,-0.053408
6.819968,-1.483529,-0.514851,0.150663,-0.052664
6.853965,-1.478419,-0.515134,0.150615,-0.001028
6.887910,-1.473309,-0.515418,0.150587,-0.000273
6.921986,-1.468199,-0.515701,0.150575,-0.000253
6.956041,-1.463547,-0.515967,0.136973,-0.103819
6.990005,-1.458905,-0.516241,0.136966,-0.002021
7.023988,-1.454260,-0.516515,0.136916,-0.000301
7.058067,-1.450081,-0.516762,0.123211,-0.000453
7.091976,-1.445901,-0.517008,0.123212,-0.000254
7.126012,-1.441721,-0.517255,0.123215,-0.000250
7.160156,-1.438695,-0.517434,0.089179,-0.000457
7.194107,-1.436823,-0.517544,0.055245,-0.000450
7.228118,-1.436107,-0.517587,0.021252,-0.000446
7.262052,-1.436108,-0.517586,0.000051,-0.000233
7.296039,-1.436108,-0.517586,0.000072,-0.000271
7.330081,-1.436108,-0.517587,0.000079,-0.000258
7.364127,-1.436108,-0.517587,0.000068,-0.000259
7.398085,-1.436108,-0.517587,0.000058,-0.000250
7.432156,-1.436108,-0.517587,0.000057,-0.000245
7.466196,-1.436108,-0.517587,0.000046,-0.000243
7.500048,-1.436107,-0.517587,0.000067,-0.000276
7.534146,-1.436107,-0.517587,0.000077,-0.000280
7.568201,-1.436107,-0.517587,0.000080,-0.000277
7.602192,-1.436107,-0.517587,0.000069,-0.000263
7.636464,-1.436107,-0.517587,0.000063,-0.000254
7.670626,-1.436107,-0.517587,0.000048,-0.000243
7.704910,-1.436107,-0.517587,0.000041,-0.000240
7.739098,-1.436107,-0.517587,0.000046,-0.000243
7.773195,-1.436107,-0.517587,0.000071,-0.000276
7.807093,-1.436107,-0.517587,0.000074,-0.000278
7.841134,-1.436107,-0.517587,0.000080,-0.000279
7.875085,-1.436107,-0.517587,0.000074,-0.000274
7.909096,-1.436107,-0.517587,0.000071,-0.000274
7.943067,-1.436106,-0.517587,0.000082,-0.000280
7.977185,-1.436106,-0.517587,0.000073,-0.000277
8.011096,-1.436106,-0.517587,0.000079,-0.000281
8.045150,-1.436106,-0.517587,0.000062,-0.000254
8.079165,-1.436106,-0.517587,0.000054,-0.000254
8.113103,-1.436106,-0.517587,0.000072,-0.000277
8.147162,-1.436106,-0.517587,0.000083,-0.000285
8.181135,-1.436106,-0.517587,0.000066,-0.000263
8.215075,-1.436106,-0.517587,0.000047,-0.000245
8.249094,-1.436106,-0.517587,0.000083,-0.000284
8.283172,-1.436106,-0.517587,0.000077,-0.000273
8.317047,-1.436106,-0.517587,0.000076,-0.000274
8.351096,-1.436106,-0.517587,0.000069,-0.000264
8.385198,-1.436106,-0.517587,0.000063,-0.000255
