time_s,x_m,y_m,yaw_rad,linear_x,angular_z
2.4,0.5060000000000002,0.0,0.22500000000000003,0.0,1.5
2.45,0.5060000000000002,0.0,0.30000000000000004,0.0,1.5
2.5,0.5060000000000002,0.0,0.37500000000000006,0.0,1.5
2.55,0.5060000000000002,0.0,0.45000000000000007,0.0,1.5
2.6,0.5060000000000002,0.0,0.5250000000000001,0.0,1.5
2.65,0.5060000000000002,0.0,0.6000000000000001,0.0,1.5
2.7,0.5060000000000002,0.0,0.675,0.0,1.5
2.75,0.5060000000000002,0.0,0.75,0.0,1.5
2.8,0.5060000000000002,0.0,0.825,0.0,1.5
2.85,0.5060000000000002,0.0,0.8999999999999999,0.0,1.5
2.9,0.5060000000000002,0.0,0.9749999999999999,0.0,1.5
2.95,0.5060000000000002,0.0,1.0499999999999998,0.0,1.5
3.0,0.5060000000000002,0.0,1.1249999999999998,0.0,1.5
3.05,0.5060000000000002,0.0,1.1999999999999997,0.0,1.5
3.1,0.5060000000000002,0.0,1.2749999999999997,0.0,1.5
3.15,0.5060000000000002,0.0,1.3499999999999996,0.0,1.5
3.2,0.5060000000000002,0.0,1.4249999999999996,0.0,1.5
3.25,0.5060000000000002,0.0,1.4999999999999996,0.0,1.5
3.3,0.5060000000000002,0.0,1.5749999999999995,0.0,1.5
3.35,0.5059537597309287,0.010999902810366835,1.5749999999999995,0.22,0.0
3.4,0.5059075194618572,0.02199980562073367,1.5749999999999995,0.22,0.0
3.45,0.5058612791927857,0.032999708431100505,1.5749999999999995,0.22,0.0
3.5,0.5058150389237142,0.04399961124146734,1.5749999999999995,0.22,0.0
3.55,0.5057687986546426,0.054999514051834175,1.5749999999999995,0.22,0.0
3.6,0.5057225583855711,0.06599941686220101,1.5749999999999995,0.22,0.0
3.65,0.5056763181164996,0.07699931967256785,1.5749999999999995,0.22,0.0
3.7,0.5056300778474281,0.08799922248293468,1.5749999999999995,0.22,0.0
3.75,0.5055838375783566,0.09899912529330152,1.5749999999999995,0.22,0.0
3.8,0.505537597309285,0.10999902810366835,1.5749999999999995,0.22,0.0
3.85,0.5054913570402135,0.12099893091403519,1.5749999999999995,0.22,0.0
3.9,0.505445116771142,0.13199883372440202,1.5749999999999995,0.22,0.0
3.95,0.5053988765020705,0.14299873653476886,1.5749999999999995,0.22,0.0
4.0,0.505352636232999,0.1539986393451357,1.5749999999999995,0.22,0.0
4.05,0.5053063959639275,0.16499854215550253,1.5749999999999995,0.22,0.0
4.1,0.5052601556948559,0.17599844496586936,1.5749999999999995,0.22,0.0
4.15,0.5052139154257844,0.1869983477762362,1.5749999999999995,0.22,0.0
4.2,0.5051676751567129,0.19799825058660303,1.5749999999999995,0.22,0.0
4.25,0.5051214348876414,0.20899815339696987,1.5749999999999995,0.22,0.0
4.3,0.5050751946185699,0.2199980562073367,1.5749999999999995,0.22,0.0
4.35,0.5050289543494983,0.23099795901770354,1.5749999999999995,0.22,0.0
4.4,0.5049827140804268,0.24199786182807037,1.5749999999999995,0.22,0.0
4.45,0.5049364738113553,0.2529977646384372,1.5749999999999995,0.22,0.0
4.5,0.5048902335422838,0.26399766744880404,1.5749999999999995,0.22,0.0
4.55,0.5048439932732123,0.2749975702591709,1.5749999999999995,0.22,0.0
4.6,0.5047977530041408,0.2859974730695377,1.5749999999999995,0.22,0.0
4.65,0.5047515127350692,0.29699737587990455,1.5749999999999995,0.22,0.0
4.7,0.5047052724659977,0.3079972786902714,1.5749999999999995,0.22,0.0
4.75,0.5046590321969262,0.3189971815006382,1.5749999999999995,0.22,0.0
4.8,0.5046127919278547,0.32999708431100505,1.5749999999999995,0.22,0.0
4.85,0.5045665516587832,0.3409969871213719,1.5749999999999995,0.22,0.0
4.9,0.5045203113897117,0.3519968899317387,1.5749999999999995,0.22,0.0
4.95,0.5044740711206401,0.36299679274210556,1.5749999999999995,0.22,0.0
5.0,0.5044278308515686,0.3739966955524724,1.5749999999999995,0.22,0.0
5.05,0.5043815905824971,0.3849965983628392,1.5749999999999995,0.22,0.0
5.1,0.5043353503134256,0.39599650117320606,1.5749999999999995,0.22,0.0
5.15,0.5042891100443541,0.4069964039835729,1.5749999999999995,0.22,0.0
5.2,0.5042428697752825,0.41799630679393973,1.5749999999999995,0.22,0.0
5.25,0.504196629506211,0.42899620960430657,1.5749999999999995,0.22,0.0
5.3,0.5041503892371395,0.4399961124146734,1.5749999999999995,0.22,0.0
5.35,0.504104148968068,0.45099601522504024,1.5749999999999995,0.22,0.0
5.4,0.5040579086989965,0.46199591803540707,1.5749999999999995,0.22,0.0
5.45,0.504011668429925,0.4729958208457739,1.5749999999999995,0.22,0.0
5.5,0.5039654281608534,0.48399572365614074,1.5749999999999995,0.22,0.0
5.55,0.5039191878917819,0.4949956264665076,1.5749999999999995,0.22,0.0
5.6,0.5038729476227104,0.5059955292768744,1.5749999999999995,0.22,0.0
5.65,0.5038729476227104,0.5059955292768744,1.6499999999999995,0.0,1.5
